bioguideid,congress,introducedDate,actionDate,actionText,billnumber,policyArea,title,billtype,url
S000094,107,2001-08-02,2001-08-16,Referred to the Subcommittee on Energy and Air Quality.,2814,Energy,Interstate Transmission Act,HR,https://api.congress.gov/v3/bill/107/hr/2814?format=json
S000094,106,1999-08-05,1999-09-10,Referred to the Subcommittee on Energy and Power.,2786,Energy,Interstate Transmission Act,HR,https://api.congress.gov/v3/bill/106/hr/2786?format=json
K000366,111,2010-09-29,2010-09-30,"Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials.",6347,Transportation and Public Works,Holocaust Accountability and Corporate Responsibility Act of 2010,HR,https://api.congress.gov/v3/bill/111/hr/6347?format=json
K000366,111,2009-09-25,2009-09-28,Referred to the Subcommittee on Space and Aeronautics.,3654,"Science, Technology, Communications",Hurricane Satellite Modernization Act,HR,https://api.congress.gov/v3/bill/111/hr/3654?format=json
M001216,118,2024-03-07,2024-05-16,Ordered to be Reported by Unanimous Consent.,7586,Transportation and Public Works,To establish a Department of State Domestic Protection Mission relating to unmanned aircraft system and unmanned aircraft.,HR,https://api.congress.gov/v3/bill/118/hr/7586?format=json
J000288,118,2024-01-18,2024-01-18,Referred to the House Committee on Transportation and Infrastructure.,7039,Transportation and Public Works,Stronger Communities through Better Transit Act,HR,https://api.congress.gov/v3/bill/118/hr/7039?format=json
J000288,118,2023-06-12,2023-06-13,Referred to the Subcommittee on Aviation.,4032,Transportation and Public Works,Hydrogen Aviation Strategy Act,HR,https://api.congress.gov/v3/bill/118/hr/4032?format=json
J000288,118,2023-05-10,2023-05-11,Referred to the Subcommittee on Aviation.,3185,Transportation and Public Works,DCA Act of 2023,HR,https://api.congress.gov/v3/bill/118/hr/3185?format=json
J000288,118,2023-03-30,2023-03-31,Referred to the Subcommittee on Aviation.,2428,Transportation and Public Works,Minorities in Aviation Education Act of 2023,HR,https://api.congress.gov/v3/bill/118/hr/2428?format=json
J000288,117,2022-02-25,2022-02-28,Referred to the Subcommittee on Aviation.,6841,Transportation and Public Works,Minorities in Aviation Education Act of 2022,HR,https://api.congress.gov/v3/bill/117/hr/6841?format=json
J000288,117,2021-10-15,2021-10-16,"Referred to the Subcommittee on Cybersecurity, Infrastructure Protection, and Innovation.",5593,"Science, Technology, Communications",Cybersecurity Opportunity Act,HR,https://api.congress.gov/v3/bill/117/hr/5593?format=json
J000288,117,2021-09-10,2021-09-13,Referred to the Subcommittee on Highways and Transit.,5228,Transportation and Public Works,Public Transportation Expansion Act,HR,https://api.congress.gov/v3/bill/117/hr/5228?format=json
J000288,117,2021-06-08,2021-06-09,Referred to the Subcommittee on Highways and Transit.,3744,Transportation and Public Works,Stronger Communities through Better Transit Act,HR,https://api.congress.gov/v3/bill/117/hr/3744?format=json
J000288,117,2021-05-28,2021-06-01,Referred to the Subcommittee on Highways and Transit.,3591,Transportation and Public Works,Safe Roads Act of 2021,HR,https://api.congress.gov/v3/bill/117/hr/3591?format=json
J000288,117,2021-04-08,2021-06-05,"Referred to the Subcommittee on National Parks, Forests, and Public Lands.",2408,Public Lands and Natural Resources,To extend the authorization for Arabia Mountain National Heritage Area.,HR,https://api.congress.gov/v3/bill/117/hr/2408?format=json
J000288,117,2021-02-23,2021-02-24,Referred to the Subcommittee on Consumer Protection and Commerce.,1239,Transportation and Public Works,Safe RIDE Act of 2021,HR,https://api.congress.gov/v3/bill/117/hr/1239?format=json
J000288,116,2019-07-16,2019-07-17,Referred to the Subcommittee on Consumer Protection and Commerce.,3773,Transportation and Public Works,Safe Roads Act of 2019,HR,https://api.congress.gov/v3/bill/116/hr/3773?format=json
J000288,113,2014-02-28,2014-09-16,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,4119,Public Lands and Natural Resources,West Hunter Street Baptist Church Study Act,HR,https://api.congress.gov/v3/bill/113/hr/4119?format=json
J000288,113,2013-11-14,2014-01-09,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.",3484,Transportation and Public Works,Airport Security Act of 2013,HR,https://api.congress.gov/v3/bill/113/hr/3484?format=json
